BOD1
SP8
TBX5
ACTN1
HOXB13
SALL3
ADRM1
TNRC6B
RAD23B
LILRA3
NR
GGCX
CLDN11
PRPH
AR
KRT8
SLC22A1
NKX3.1
TET2
IGF2
EHBP1
KLK3
NUDT10
FAM44B
ABCB5
LOC255480
RAD51B
PRAC
ATP9B
C20orf15
KLF4
VAMP8
SKIL
EIF4B
IGF2AS
NUDT11
LOC285593
RPL23P8
ZFP36L1
SPOP
C20orf151
VAMP5
TENC1
INS
LOC340602
STC2
ZNF652
C20orf166
RNF181
TH
ABI3
C20orf166-AS1
B4GALNT2
CABLES2
FLJ40194
GATA5
GNGT2
GTPBP5
IGF2BP1
HRH3
NGFR
LAMA5
PHB
MIR1-1
PHOSPHO1
MIR133A2
MIR4758
OSBPL2
RPS21
PKIA
SYK
C9orf123
NR2F2
AMIGO2
DNAH5
MIR656
MIR622
CLVS2
CD200R1L
CWC22
INHBA
CD180
SNX16
PLCL1
ACTBL2
C7orf66
CNTN6
NCRNA00284
ACTC1
MN1
INSC
C16orf78
VGLL3
BAI3
PTPRU
MIR4319
