HNF4G
MRPS33P4
TMEM18
MC4R
GNPDA2
SEC16B
LOC144233
ADCY3
NEGR1
ETV5
FANCL
GPRC5B
TFAP2B
OLFM4
CMYA5
PROX1
BC041448
KC6
UBE2E3
FAT1
ASAH1
INHBB
ARG1
NRXN3
MAF
PTER
POMC
MTNR1A
OTUD1
PRMT6
KIAA1217
CAMK1G
FLJ39743
ZNF248
TRAM1L1
PRF1
FLJ20309
MRPS22
EEF1A1P14
HTATIP2
ELOVL6
KCNN2
LOC154449
NXPH1
TMEPAI
TMEM75
DBI
SLC46A3
TP53TG3B
LINGO2
ADAMTS20
C13orf29
LOC442017
CTAGE14P
PRKD1
SSTR4
ST13P8
THBS2
RAB28
ASS1P11
FLJ13197
IREB2
PARP4
SETD4
C15orf2
RAMP1
FKSG2
LOC645763
RAB6A
GRIN3A
TANK
TLR4
HPD
RFC3
LINC00299
KLHL29
PFDN4
PSAT1
LOC646517
TCEB1P3
SDK1
SPATA8
KCNJ2
LOC728048
INSC
TOM1L1
SLC22A11
HMGCLL1
LOC644357
MMD
LOC644649
SAMD5
CA8
TWIST1
KLK4
LOC387869
PTMAP8
SNRK
KLRK1
KCNK5
FAS
C4orf52
C11orf44
C2orf42
MPHOSPH6
LIPC
PDCL
LOC642513
MIAT
KIAA1715
FLJ41423
RNASE1
C6orf195
ZEB2
DSC3
PRMT10
LOC729424
C11orf21
LOC121498
C10orf107
FTLP17
LOC391741
CHN2
UM9(5)
HS3ST4
LOC345571
ODF3B
ADAMTSL1
LOC150935
LOC442132
BAK1
HRSP12
KCTD15
DAOA
CDH20
PCDH7
GTDC1
ADAMTS19
NBEAL1
RPL6P25
MAX
HEPHL1
HAS2
IL10RA
NUDT7
NXT1
ASB3
C14orf177
CD109
TMEM132D
RIN2
TRIB1
LOC286238
ACTR3B
AOAH
RASAL2
CYLC2
LOC100287243
UBXD7
LOC392285
PRDM5
OLFM1
PLD5
GRXCR1
FUT8
LOH11CR2A
RPS4XP19
ZNF804A
SNX29
RBM22P1
SNRNP48
LOC442232
JMJD2C
C9orf171
CHST11
DRD1
RPL18AP8
MAG1
CCND2
IGSF11
ZNF217
NELL1
FSCB
KCNK15
LOC440181
COL4A1
TLL1
SDCCAG10
ACTL8
MORF4
UNQ1940
SYT6
EDNRA
DCHS2
KLHL1
ENAH
MSRB2
LOC390843
LOC646841
ANAPC1
PCBD1
ACAD8
RP11-191L9.1
LINC00520
MTERF
TMEM30B
YTHDC1
GLULD1
GUCY1A2
CITED2
TTC8
SUPT3H
HSP90AA5P
OR10J5
SPNS3
PTDSS1
NRG3
CNTN5
EPS15P1
CLDN23
RPL31P35
MYO3A
TRIM67
VGLL3
RPL23AP76
RPSAP10
FSTL1
TOMM20
ISG20
C9orf11
CENTD1
SUSD1
FGFRL1
RPL7P3
FOXD2
LOC644727
LOC200261
ARHGAP28
SH3GL2
LOC729852
LIPG
OR2A5
SDR16C6P
FHOD3
DIRC1
SS18
KIAA1853
POLD2P1
PLOD2
UBR2
CD83
GRIK2
CSF1
LOC138972
GPR141
LOC152742
MBNL2
POU3F2
GCN1L1
SPINK1
TTLL7
PCDH18
LOC645481
LOC644659
CTCFL
AEBP2
SASP
C20orf4
KRT8P5
GALR1
AADACL4
CPLX2
HSP90AB2P
DEFB128
BTBD3
FERD3L
HMGB1P18
ICOS
LOC391383
USP6NL
RASSF10
SOX11
EPSTI1
KCNV2
KU-MEL-3
LOC100287225
LOC441750
NBPF22P
LACE1
tcag7.1213
BET1
ADH5P2
SEMA5A
WNT4
TBX5
B3GALT1
CPSF2
SGCD
ATXN7L1
LOC121906
LOC387939
CLTB
LOC100652979
ZNF259
OR52M1
RPL31P48
LOC644192
LOC100505872
CCDC41
FLJ43860
LOC338591
LOC401767
HLX
LOC391718
EMX2
UNQ9370
RPL21P119
CDK5R2
HERPUD2
LPHN2
FICD
ATP12A
MAFB
RPL7AP27
SLC19A3
ENPP1
FBP1
LOC442318
RP1L1
OR52K1
LOC647051
FAM155A
LOC642692
ADAM24P
C19orf18
FAM84B
CD53
RPL15P3
PLA2G2D
CCDC91
SPAG17
C11orf82
ATAD2B
C12orf35
FMOD
PRTFDC1
C14orf139
XPA
CUGBP2
RPS3AP5
FAM53B
ST13P1
FLJ45455
ABHD2
RPSAP55
FOXL1
ESRRAP2
LRRK2
E2F3
C20orf85
MRPL48
TRUB2
KCNIP4-IT1
RSL24D1P4
AGPAT9
WISP2
CWC27
FAM180A
LOC401497
LGSN
OR10J1
CD93
TPGS2
HMG1L1
KIAA0020
PECI
APOA5
C9orf3
UBXN2A
FOXE1
CELF2
METTL10
SHISA6
EEF1A1P22
COQ4
RIMS4
ECI2
