ARF5
WISP1
NXN
HMG1L1
TMEM163
MAP3K1
CDKN2A
CDKN2B
CDC123
DUSP9
HLA-DQA2
HHEX
MGC21675
SLC44A3
RBM43
GALNTL4
TMEM45B
FITM2
GCC1
PSMD6
WWOX
GRB14
C2CD4A
HNF1A
C14orf70
ZPLD1
HUNK
KIF11
SPRY2
C2CD4B
BCL11A
KLF14
CHCHD9
ZFAND6
MTNR1B
PPARG
TSPAN8
DCD
VEGFA
SYN2
NR
PAX4
CTCFL
F3
RND3
LOC729013
BARX2
R3HDML
CAMK1D
IDE
LGR5
SND1
RBM38
HNF4A
PCK1
