TMX3
GRIK4
SHFM1
TCEB1
ATPBD4
LOC389365
SLC9A9
LOC643308
EREG
HAS3
CLYBL
OXER1
AK094352
TFEB
NR
ETV3L
LOC729257
C5orf15
FLJ31818
YWHAZ
PTPRD
PITRM1
AMOTL1
GSX1
LIG4
SPATA8
ETV3
GPR85
CWC15
PDX1
ABHD13
JMJD2D
