RGS1
IL18RAP
ITGA4
CCR1
IL12A
TNFAIP3
RUNX3
CCR4
PTPRK
CIITA
PARK7
FASLG
IRF4
ZFP36L1
TLR7
IL1RL1
KIAA1109
IL18R1
UBE2E3
CCR2
THEMIS
SOCS1
TNFRSF9
TNFSF18
TLR8
SCHIP1
ADAD1
TENR
CCRL2
CLEC16A
TNFSF4
IL2
IL1RL2
CCR3
SLC9A4
IL21
CCR5
CCR9
ANKRD55
DDX6
CDK4
LBH
