LOC339788
ARL11
LOC285501
TMEM47
DSC1
MRGPRE
PTGER4
EOMES
HLA-B
HLA-DRB1
CD40
KPNB1
ILDR1
PLEK
TNP2
IL12B
CD5
CDC37
DDAH1
DLEU1
EXTL2
GPR65
HHEX
IL22RA2
IL2RA
IRF8
KIAA0564
MAF
MAMSTR
MAP3K14
MMEL1
MYB
MYC
OLIG3
NFKBIZ
PKIA
PTPRK
PVT1
RGS1
SOX8
TCF7
ZNF438
LOC100289506
CD6
DQA1
HLA-DRB
HLA
NR
CXCR4
IL12A
SLC25A36
SH3GL2
EN1
MGC45800
ZIC1
DDEF2
TBKBP1
CD86
FBXO48
PRM3
TYK2
IL7
THEMIS
VCAM1
HLA-DQB1
TBX21
C2orf13
PRM2
PRM1
C16orf75
C6orf167
HLA-DQA1
HLA-DQA2
MMS22L
KLHL32
KIAA1900
RAB38
KCNB2
WDR7
SGCD
LOC132321
CENPC1
JARID2
C16orf47
MGC13125
CBLN2
ACP5
CUEDC1
FLJ11017
FUT8
