IRF8
KCTD15
RFPL4A
NDFIP2
FLJ41603
GRIN2B
MIR548D2
FGF12
FMN1
MRPL14
PCDH1
SOD3
ENOX1
LYSMD4
CHST8
EPN1
CCND2
WBSCR17
C12orf36
RASA1
SCHIP1
RASGEF1B
IGFBP1
ADCYAP1R1
LAPTM4A
PARD3
SLC6A15
CNIH4
C3orf70
HOMER1
CPM
LOC647167
VCAN
NLGN1
LOC728275
GDNF
FAM179A
FHIT
C15orf51
NLRP9
C12orf5
CCNH
IL12A
IGFBP3
NVL
EHHADH
C2orf71
PTPRG
WDR26
NLRP11
BC043421
NR
