BIN1
RP11-242G20.2
AC015804.1
SLC2A9
RP11-291J9.2
RP11-572M11.4
AP003097.1
RIMBP2
AC110611.1
AC079250.1
AC008541.1
RP11-341A22.2
MS4A
PICALM
CLU
RFC3
TTLL7
PAX2
SASH1
FAM113B
NR
MIR1275
KCNV2
HRK
LOC390958
LEMD2
VLDLR
RNFT2
Sec11C
MLN
MS4A4A
CUGBP2
SNAR-I
NCR2
BCHE
EDIL3
EFNA5
ITGA1
NFIB
ARID1B
NUAK1
EPC2
LOC100129500
GEMC1
TREM
C12orf75
OSTNIL1-RAP
UTS2D
CCDC50
