TBC1D1
SMNDC1
STARD10
HLA-DRB5
HLA-DQA2
TNFSF15
SOX11
PBX2
PTPN22
ADAM30
FASLG
UCN
HLA-C
TAGAP
RIPK2
RASGRP1
AIF1
FOXP2
RBX1
PTGER4
ZNF365
TMEM17
SLCO6A1
HLA-F
TCERG1L
SLC43A3
CCL7
IL3
ZFP36L1
UBE2D1
TNFSF18
TNFSF11
PRDX5
PRDM1
NKX2-3
NDFIP1
MTMR3
MAP3K7IP1
JAK2
IRGM
IL10
IKZF1
ICOSLG
GSMDL
FUT2
CPEB4
CCR6
CCL2
C11orf30
intergenic
IL12B
Unknown
LRRK2
ORMDL3
PTPN2
NR
KLF3
DUSP5
ATG16L2
HLA-DQA1
HLA-DRB1
LOC100129633
NOTCH4
DCLRE1B
PSORS1C1
SPRED1
EP300
EHBP1
MOG
PRG2
ACSL6
TNFSF4
ESRRA
IL19
ZPBP
ZPBP2
RASIP1
MUC19
RP11-525A16.1
FCHSD2
LOC645266
NFKBIL1
CPAMD8
HLA-G
PRG3
CCL11
P4HA2
FIGNL1
HLA-DRA
HLA-DQB1
TNFSF8
MICB
AK3
GABBR1
CCL8
PDLIM4
IKZF3
BTNL2
HLA-DOB
HLA-H
CCL13
SLC22A4
PSMB9
UBD
CCL1
HLA-A
