TTC39B
PIGY
CMKLR1
IRF2BP2
RP11-252P19.1
MARK1
PTGFR
TRANK1
TXNDC9
LOC731779
LMAN2L
C15orf53
LBA1
PARD6B
NFIA
SGCG
CD276
NR
RPGRIP1L
SP8
NF1A
CTNNA2
KIT
TSGA10
GPR20
FER1L5
RASGRP1
REV1
CNNM4
MRPL30
MITD1
MGAT4A
LYG1
LYG2
LIPT1
EIF5B
C2orf55
C2orf15
