C6orf191
TENM2
TNPO
SIK3
GRM6
C9orf156
ATF7IP
SCAF4
RELL1
SORCS3
MGC57346
WDR72
SLC30A
ELP3
TYK2
PDE10A
FLJ45244
PLA2G6
NANP
TDRD10
LOC341604
GSMDL
FAM26F
PPM1F
ZBTB20
PIWIL4
TMOD1
RB1
CYLD
USP35
PUS7
RORa
CPED1
OPRM1
MEIS2
LRP4
HTR1A
CNTN2
ALDH1A2
ESYT1
NOBOX
RP1-239K6.1
EIF2S2
IL12RL2
ZNF446
APOC1
FOXL1
SLC46A1
CAMTA1
FGF12
GRN
SETD7
ASS1P11
PPP1R1
CHAC1
WIPF2
USP46
SP140
REG1A
TPT1
CADPS2
AL354897.1
ESRRA
GSS
SC4MOL
ATAD5/RNF135
NLRP8
DDHD1
C6orf10
CNTN3
STRN4
LOC100506274
PECR
SH3BP4
PTPRV
ZNF770
SKOR1
PLG
LOC643281
TMEM64
LOC100129725
FEN
SPATA2
SPIC
GRIK2
SLCO1B3
LOC100506746
FLJ11730
LOC100130968
PLEKHA5
FGF2
USP1
TMEM16B
UBE2E3
ALDOAP1
MIR302F
TMC7
ASB13
TLK1
TMEM59
PIK3R1
GLT1D1
ROBO4
LOC728191
ABAT
BRIP1
LOC100289459
ZNF300P1
LOC442707
PPP1R3A
DERA
LTB
FLAD1
EIF2AK2
SLC44A2
TM6SF2
SHC3
SERINC3
PLXNB2
PRKD1
G6PC2
STAB2
MIR548N
MI346
PTDSS1
CD34
FCMD
RP11-799P8.1
ZBTB14
LOC138412
VENTXP1
CDC123
TNF
WNT9B
LOC100128283
ARL1
POSTN
RP11Û266O8.1
SLITRK6
IGSF9B
GXYLT2
LOC100506433
HLA-DOA
QSER1
KRT28
Unknown
CCL25
TSPAN5
MIR643
TSHR
IMP5
GAREM
C6orf155
UBL4B
VPS8
ABI3
HPCAL1
GBA3
FBP1
CBX5
MUC4
FAM82A1
CBLN2
C17orf53
UPP2
AKR1C4
KIAA2018
CCRL2
PRICKLE1
DYRK1A
RAB39
ACD
FGF4G
ZNF142
GATA2
CYP27C1
CTGF
C17orf37
PMF1
LPHN1
LILRB4
TRAF3IP1
LAMB3
NEDD1
TMEM135
MTNR1A
LOC51057
SLC2A12
FAM47A
PLXDC2
COL24A1
HPGDS
TMEM184B
SLC35F1
ABLIM1 x NR
ABO
NEK4
FLT3
STAT5A
TRIM67
LGR4
AFM
AGTRAP
ABCA68
UBXN2A
TECRL
FANCI
LOC349196
ANKS1A
CIDEB
SLC38A6
SET
KRT8P5
ZSCAN2
LOC100302666
KIAA0182
ZBP1
NAGK
ATXN2L
PAPD7
C11orf74
AC023950.6
LINC00965
LOC440093
RHBDL2
COX11
LOC730338
NDUFB8P2
TMEM17
LYRM9
VWA5A
NPHP3
MAD2L1
PBX1
CLCC1
SMTN
PHOX2B
AK097370
C18orf34
BCL2L1
NPPB
VAX1
MCAT
OR52I2
WEE2
HERV
STK11
FAM86EP
RTF1
hCG_1820717
SLC44A1
PPP2R2A
ERVWE1
ZFYVE26
WWOX
LOC493754
B9D2
PNMAL1
SLC51A
FDFT1
CELSR1
LOC646644
AP005434.1
ZBTB20-AS1
PAN3
RCN3
CH25H
MIR3688-1
TMED10
C6orf214
CRKRS
FAM73A
PLEKHN1
AK123267
LOC100129594
HISPPD2A
MIR2278
LHFPL4
LOC100421385
PASK
DPPA3
WDR48
ATG2A
EVC x PPP1R14A
PIEZO1
MRPL23
PGS1
RGS20
COL3A1
EREG
C1QTNF9B-AS1
CDH20
SPRR1B
