index,Unnamed: 0,target_id,pval,qval,b,se_b,mean_obs,var_obs,tech_var,sigma_sq,smooth_sigma_sq,final_sigma_sq,ens_gene,ext_gene,b_c,b_e,b_b,b_a,b_d,se_b_c,se_b_e,se_b_b,se_b_a,se_b_d,q_c,q_e,q_b,q_a,q_d
771,772,B0365.6.2,0.0104251494743152,0.251997306503984,0.65251480782483,0.254749362271659,6.65761255139768,1.25416487164933,0.0882374792079007,0.00910837715882501,0.00812615742206012,0.00910837715882501,WBGene00007153,clec-41,0.697543274919993,1.34417820383323,1.2279894061956398,1.31588814278345,0.6979111941871821,0.254749362271659,0.254749362271659,0.254749362271659,0.254749362271659,0.254749362271659,0.14921803113665197,8.25737193860558e-06,5.28056237120514e-05,1.06471717539782e-05,0.13216341683558802
271,272,B0393.1.1,0.000708766702278194,0.0488078295941056,-0.356994872908817,0.105427478775708,8.06517707775949,9.99627904818441,0.00183277898590327,0.0148396509356004,0.00800683464382688,0.0148396509356004,WBGene00004469,rps-0,-0.0310205159928001,-0.5072309613839779,-0.334480009119412,-0.46612743171494997,-0.28626982199828604,0.105427478775708,0.105427478775708,0.105427478775708,0.105427478775708,0.105427478775708,0.9924068529823579,6.53491874900737e-05,0.0219849428200049,0.000285973447146192,0.13807474203181
1869,1870,B0393.1.2,0.0575790055658631,0.573488123133344,-0.18523652874289603,0.0975499249892888,8.59194269089981,0.189675730644495,0.00483797716108028,0.00883769298349397,0.00943600463704352,0.00943600463704352,WBGene00004469,rps-0,-0.0802065808026657,-0.425554084536916,-0.30363724112181106,-0.36738983441968703,-0.079791649951759,0.0975499249892888,0.0975499249892888,0.0975499249892888,0.0975499249892888,0.0975499249892888,0.888182853123704,0.000395303221954961,0.0262475605725792,0.00319319624253736,0.9359066011579141
37,38,B0393.3,3.28407176693485e-07,0.00016148126569783601,0.41362574762171606,0.0810019222695365,8.65146631267115,0.39730780018888007,0.00017794564351078,0.00790310162618002,0.00966402147352928,0.00966402147352928,WBGene00007168,B0393.3,-0.09054370425516499,0.288256051040515,0.20791793874052,0.384565138181428,0.20767314842749302,0.0810019222695365,0.0810019222695365,0.0810019222695365,0.0810019222695365,0.0810019222695365,0.8043052384367159,0.0064199094366840705,0.0979924074602658,7.31199635266945e-05,0.183032822698323
2858,2859,B0457.2,0.114007316569712,0.7449865332641271,0.213532601675304,0.135110031328619,5.14026328790305,0.657003354772068,0.00610807435560209,0.0127411159157355,0.0212740064928285,0.0212740064928285,WBGene00007178,B0457.2,0.390377075743182,0.660282065676864,0.592834421938278,0.528912108105731,0.36502235012745393,0.135110031328619,0.135110031328619,0.135110031328619,0.135110031328619,0.135110031328619,0.115789188770256,4.79472194891962e-05,0.000339617208661837,0.0019308980215702399,0.14119713385087498
1151,1152,C02C2.1,0.0242474936065725,0.39328508510313104,-0.31357963637668396,0.139171728662197,5.1939367640658896,0.687092782867486,0.00881964396711378,0.0199515144224749,0.0202335111211226,0.0202335111211226,WBGene00015332,tyr-1,-0.129172740516868,1.53972652313516,1.6066516587430901,1.84286747553767,0.14680536926112697,0.139171728662197,0.139171728662197,0.139171728662197,0.139171728662197,0.139171728662197,0.862963463507016,1.21510602760809e-25,3.97967562203764e-28,3.76753709870871e-37,0.8709208401694201
14714,14715,C02F12.5,0.942576733636456,1.0,-0.0210317758165011,0.29197971647124393,5.2182125766553,0.627494431875916,0.00771484371323086,0.12016338853271101,0.0197822583633605,0.12016338853271101,WBGene00015355,C02F12.5,0.11224125040858,1.5258184945472801,1.56001058513709,1.8413354724868602,0.643543790719626,0.29197971647124393,0.29197971647124393,0.29197971647124393,0.29197971647124393,0.29197971647124393,0.985775476386991,1.0453531531689099e-05,4.40565285151694e-06,2.0293085262148203e-08,0.31503277201505603
6825,6826,C02H6.2,0.357263739324645,0.9779343608760649,-0.294597187947324,0.32000858853065806,3.6101499249410294,0.597126846954464,0.0399058599679979,0.113702385132078,0.103732249696014,0.113702385132078,WBGene00015362,fbxa-105,-0.110008658335199,1.09226226974546,1.46819337117037,0.944165018882322,0.0805032447811291,0.32000858853065806,0.32000858853065806,0.32000858853065806,0.32000858853065806,0.32000858853065806,0.988624468736226,0.0100801981644714,0.00014748727743283202,0.0341741939743489,1.0
10465,10466,C03G6.19,0.6382792719392231,1.0,0.0479300084561367,0.101955742341818,6.060980204986401,0.222960831066778,0.00251232689701749,0.0130801331976894,0.0102938096245142,0.0130801331976894,WBGene00005647,srp-6,0.0569424351470716,0.5147753902496089,0.4291597711916161,0.5813408829597819,0.0941844016750471,0.101955742341818,0.101955742341818,0.101955742341818,0.101955742341818,0.101955742341818,0.9526789599701669,2.32442144886703e-05,0.0007049976168213269,6.74956764981132e-07,0.915464118529187
295,296,C05C8.9a.1,0.000935618853049585,0.0590609400987551,0.341249167383645,0.103121247123697,6.3956023228462895,0.11008575635762301,0.00713429964354622,0.00263536447962624,0.00881668776897381,0.00881668776897381,WBGene00015466,hyls-1,-0.00642132554683465,0.30639557803236894,0.33466729779159604,0.47054318617402896,0.22727374854806898,0.103121247123697,0.103121247123697,0.103121247123697,0.103121247123697,0.103121247123697,1.0,0.0337950514064185,0.0180087361532016,0.000161890547503439,0.31503277201505603
14760,14761,C05D11.1,0.491011379839342,1.0,-0.0504646133000469,0.0732750576934161,7.4982042712399695,0.0119994926039961,0.000626972873055825,0.006819654317532,0.007426878246904371,0.007426878246904371,WBGene00015481,C05D11.1,-0.0551534163424879,-0.235159179175971,-0.216617204967512,-0.231925647472945,-0.155540483659416,0.0732750576934161,0.0732750576934161,0.0732750576934161,0.0732750576934161,0.0732750576934161,0.9066075868206122,0.0178498946233214,0.0393186269776133,0.0198828723615416,0.348539036664654
4413,4414,C05D2.4a,0.212993076578521,0.8925538241044959,-0.19321156945745901,0.155142993487965,5.0399416999881606,0.126997843558806,0.0126453507438448,0.00875220631795373,0.0234586718987655,0.0234586718987655,WBGene00000239,bas-1,0.243367010640648,-0.639641047448819,-0.7174627922912951,-0.834981899029243,-0.317522373029502,0.155142993487965,0.155142993487965,0.155142993487965,0.155142993487965,0.155142993487965,0.619084906876145,0.000945909049753233,0.000126176230402777,3.59340726848144e-06,0.378089056992395
