#WBPaper00031003_0hr_muscle_enriched_WBbt_0003675_761
Tissue,Expected,Observed,Enrichment Fold Change,P value,Q value
muscle cell WBbt:0003675,86.03564317005177,173,2.0107945221965835,3.436475838643038e-27,1.3745903354572154e-25
anal depressor muscle WBbt:0004292,26.57447232178415,80,3.010407846722165,1.1660947443618495e-21,2.332189488723699e-20
anal sphincter muscle WBbt:0005798,7.764038231780168,36,4.636762329768408,1.4509819969856107e-16,1.9346426626474812e-15
uterine muscle WBbt:0005342,8.332138590203106,29,3.480498996271867,3.292952904763637e-10,3.292952904763637e-09
intestinal muscle WBbt:0005796,12.308841099163681,32,2.5997573404513465,1.1081842349741717e-07,8.865473879793373e-07
head muscle WBbt:0006761,10.920151334129828,23,2.106197917616382,0.0001848682483980201,0.001232454989320134
gonadal sheath cell WBbt:0005828,13.255675029868577,24,1.8105452906714739,0.0014145366153870465,0.008083066373640266
somatic gonad WBbt:0005785,30.42493030665074,44,1.4461824417189155,0.00408873671480339,0.02044368357401695
