GenePublicName,SequenceNameGene,SequenceNameTranscript,Db10,OP50,Ratio_Db10vsOP50,log2_Ratio_Db10vsOP50,Infection_upregulated,Infection_downregulated
B0507.3,B0507.3,B0507.3b,"0,370563","0,222789","1,663291",0.734040596484,,
B0507.4,B0507.4,B0507.4,0,"0,003483",0,,,
B0507.5,B0507.5,B0507.5,0,0,,,,
B0507.6,B0507.6,B0507.6,"0,014876","0,013512","1,100955",0.138755501960,,
B0507.7,B0507.7,B0507.7,"0,00585","0,001215","4,816555",2.268001639941,1,
B0507.8,B0507.8,B0507.8,"0,037249","0,062496","0,596026",-0.746552829212,,
B0507.9,B0507.9,B0507.9,0,"0,002466",0,,,
fkb-7,B0511.1,B0511.1,"0,030035","0,092334","0,325283",-1.620232668932,,1
eif-3.E,B0511.10,B0511.10,"1,37002","1,49872","0,914127",-0.129533481527,,
B0511.11,B0511.11,B0511.11,"0,107206","0,051291","2,090169",1.063619595706,,
B0511.12,B0511.12,B0511.12,"0,60057","0,657611","0,91326",-0.130902449014,,
B0511.13,B0511.13,B0511.13,"0,695766","0,538713","1,291534",0.369085623313,,
B0511.14,B0511.14,B0511.14a,"0,454128","0,40418","1,123579",0.168101565463,,
B0511.14,B0511.14,B0511.14b,"0,564887","0,438924","1,286981",0.363990754873,,
B0511.2,B0511.2,B0511.2,"0,00111","0,001883","0,58957",-0.762264979465,,
fbxa-125,B0511.3,B0511.3,0,0,,,,
tag-344,B0511.4,B0511.4,0,"0,000641",0,,,
B0511.5,B0511.5,B0511.5,"0,096392","0,054514","1,768218",0.822296152631,,
B0511.6,B0511.6,B0511.6.1,"1,55204","2,90929","0,533477",-0.906502021966,,
B0511.6,B0511.6,B0511.6.2,"1,76057","3,0946","0,568917",-0.813709903555,,
B0511.7,B0511.7,B0511.7,"2,23905","1,34303","1,667163",0.737395164789,,
tag-264,B0511.8,B0511.8.1,"0,757398","0,553405","1,368614",0.452715610359,,
tag-264,B0511.8,B0511.8.2,"0,746174","0,534486","1,396059",0.481359913760,,
mat-4,B0511.9,B0511.9a,"1,86042","2,48657","0,748187",-0.418529196091,,
mat-4,B0511.9,B0511.9b,"1,49538","1,25087","1,195472",0.257580340059,,
lin-66,B0513.1,B0513.1,"0,801165","1,12591","0,711571",-0.490920379966,,
B0513.2,B0513.2,B0513.2,"1,28249","0,890158","1,440744",0.526814011612,,
rpl-29,B0513.3,B0513.3.1,"132,197","858,313","0,15402",-2.698810393140,,1
rpl-29,B0513.3,B0513.3.2,"158,005","1025,58","0,154064",-2.698398306941,,1
B0513.4,B0513.4,B0513.4,"19,1539","12,5972","1,520489",0.604535379208,,
B0513.5,B0513.5,B0513.5,"0,221805","0,182711","1,213966",0.279728016060,,
B0513.6,B0513.6,B0513.6,0,0,,,,
B0513.9,B0513.9,B0513.9a,"2,24028","4,81772","0,465008",-1.104672558320,,
B0513.9,B0513.9,B0513.9b.1,"2,84825","5,60073","0,50855",-0.975538469859,,
B0513.9,B0513.9,B0513.9b.2,"2,20114","4,72597","0,465754",-1.102359935478,,
kin-31,B0523.1,B0523.1,"0,006101","0,005674","1,075336",0.104787515437,,
pgl-2,B0523.3,B0523.3,"0,350177","0,236073","1,483342",0.568851264563,,
fli-1,B0523.5,B0523.5,"0,259843","0,243331","1,067858",0.094719815269,,
B0524.1,B0524.1,B0524.1,"0,186052","0,180267","1,032091",0.045570179541,,
B0524.2,B0524.2,B0524.2,0,"0,002055",0,,,
B0524.3,B0524.3,B0524.3,0,"0,000393",0,,,
B0524.4,B0524.4,B0524.4,0,"0,00023",0,,,
B0524.5,B0524.5,B0524.5,0,"0,010094",0,,,
B0524.6,B0524.6,B0524.6,"0,856355","0,698719","1,225607",0.293496442288,,
B0524.7,B0524.7,B0524.7,"0,245427","0,273866","0,896157",-0.158176591087,,
tpa-1,B0545.1,B0545.1a,"0,419277","0,298812","1,403146",0.488665131921,,
tpa-1,B0545.1,B0545.1b.1,"0,384438","0,291034","1,320938",0.401562753344,,
tpa-1,B0545.1,B0545.1b.2,"0,380385","0,287663","1,322329",0.403081168991,,
B0545.3,B0545.3,B0545.3,"0,007517","0,003994","1,88218",0.912404605054,,
B0545.4,B0545.4,B0545.4,"0,052041","0,027769","1,87411",0.906205633785,,
37377,B0546.1,B0546.1.1,"8,19781","20,9768","0,390804",-1.355482861075,,
37377,B0546.1,B0546.1.2,"8,00446","20,4533","0,391353",-1.353457590682,,
37377,B0546.1,B0546.1.3,"8,12362","20,7569","0,39137",-1.353394922750,,
B0546.2,B0546.2,B0546.2.1,"0,873182","0,651777","1,339694",0.421903511805,,
B0546.2,B0546.2,B0546.2.2,"0,960421","0,721947","1,330321",0.411774403043,,
B0546.3,B0546.3,B0546.3,"0,52786","0,532742","0,990836",-0.013281807977,,
B0546.4,B0546.4,B0546.4a,"1,19494","1,60523","0,744404",-0.425842287254,,
B0546.4,B0546.4,B0546.4b,"0,531481","0,7403","0,717927",-0.478090938990,,
B0546.5,B0546.5,B0546.5,0,0,,,,
csn-5,B0547.1,B0547.1.1,"0,995334","1,13748","0,875034",-0.192589020024,,
csn-5,B0547.1,B0547.1.2,"0,997805","1,13512","0,87903",-0.186015691620,,
B0547.2,B0547.2,B0547.2,0,0,,,,
srd-8,B0547.4,B0547.4,0,"0,000364",0,,,
B0554.1,B0554.1,B0554.1,0,0,,,,
B0554.2,B0554.2,B0554.2,0,0,,,,
B0554.3,B0554.3,B0554.3,0,0,,,,
B0554.4,B0554.4,B0554.4,"0,001209",0,,,,
B0554.5,B0554.5,B0554.5,"0,013741","0,011374","1,208103",0.272743460668,,
dod-20,B0554.6,B0554.6,"0,066394","0,002172","30,56791",4.933946010026,1,
B0554.7,B0554.7,B0554.7,0,"0,000218",0,,,
B0563.1,B0563.1,B0563.1,"0,006084","0,009361","0,649967",-0.621561623123,,
tsp-11,B0563.2,B0563.2,"0,049951","0,063164","0,790811",-0.338595156123,,
tag-132,B0563.4,B0563.4,"1,7579","1,56923","1,120231",0.163796257454,,
B0563.5,B0563.5,B0563.5,"0,134938","0,577292","0,233743",-2.097004934236,,1
B0563.6,B0563.6,B0563.6a,"0,053948","0,034339","1,571031",0.651711648554,,
B0563.6,B0563.6,B0563.6b.1,"0,0989","0,052951","1,867763",0.901311403433,,
B0563.6,B0563.6,B0563.6b.2,"0,093418","0,04806","1,94378",0.958864941747,,
B0563.7,B0563.7,B0563.7,"0,067181","0,057418","1,170028",0.226543055431,,
B0563.8,B0563.8,B0563.8,"0,123077","0,087497","1,406646",0.492259302062,,
B0563.9,B0563.9,B0563.9,"0,080006","1,07548","0,074391",-3.748728098559,,1
unc-30,B0564.10,B0564.10a,"0,104944","0,087856","1,194496",0.256402022660,,
unc-30,B0564.10,B0564.10b,"0,085672","0,07777","1,101616",0.139621418610,,
B0564.11,B0564.11,B0564.11,"0,569716","0,360914","1,578537",0.658588076990,,
B0564.1,B0564.1,B0564.1a,"1,20815","1,02657","1,17688",0.234967224173,,
tin-9.2,B0564.1,B0564.1b.1,"1,25624","1,0732","1,170555",0.227192722885,,
tin-9.2,B0564.1,B0564.1b.2,"3,09812","2,91729","1,061986",0.086764747438,,
B0564.2,B0564.2,B0564.2,"0,459264","0,667563","0,687971",-0.539580342515,,
B0564.3,B0564.3,B0564.3.1,"0,047662","0,43619","0,109268",-3.194057136702,,1
B0564.3,B0564.3,B0564.3.2,"0,047377","0,440467","0,107561",-3.216773021694,,1
B0564.4,B0564.4,B0564.4,"0,024969","0,103716","0,240747",-2.054410274439,,1
B0564.6,B0564.6,B0564.6a,nan,nan,,,,
B0564.6,B0564.6,B0564.6b,nan,nan,,,,
B0564.7,B0564.7,B0564.7.1,"0,464375","0,315059","1,47393",0.559668009473,,
B0564.7,B0564.7,B0564.7.2,"0,441361","0,31245","1,412581",0.498333596694,,
B0564.9,B0564.9,B0564.9,nan,nan,,,,
BE0003N10.1,BE0003N10.1,BE0003N10.1,"0,171211","0,147438","1,161241",0.215667415290,,
BE0003N10.2,BE0003N10.2,BE0003N10.2,"0,394975","0,422573","0,934691",-0.097438592397,,
BE0003N10.3,BE0003N10.3,BE0003N10.3,"0,036945","0,068195","0,541765",-0.884260901712,,
BE10.1,BE10.1,BE10.1,0,"0,000734",0,,,
BE10.2,BE10.2,BE10.2,"0,145445","0,020306","7,162626",2.840488612994,1,
BE10.3,BE10.3,BE10.3,"0,003981","0,013805","0,2884",-1.793856930309,,1
BE10.4,BE10.4,BE10.4,"0,001026","0,032645","0,031414",-4.992448534185,,1
BE10.5,BE10.5,BE10.5,0,0,,,,
C01A2.1,C01A2.1,C01A2.1,"0,016519","0,012185","1,355663",0.438998588022,,
C01A2.2,C01A2.2,C01A2.2,"0,20162","0,219507","0,918513",-0.122627954495,,
C01A2.3,C01A2.3,C01A2.3,"0,33634","0,255487","1,316466",0.396670261783,,
C01A2.4,C01A2.4,C01A2.4,"1,95913","1,3089","1,496776",0.581858331036,,
C01A2.5,C01A2.5,C01A2.5,"1,50332","0,800694","1,877521",0.908829044318,,
C01A2.6,C01A2.6,C01A2.6,"0,013805","0,008777","1,572979",0.653499410234,,
nlp-38,C01A2.7,C01A2.7.1,"0,189327","0,141426","1,3387",0.420832691802,,
nlp-38,C01A2.7,C01A2.7.2,"0,216339","0,169269","1,278078",0.353975885408,,
drh-2,C01B10.1,C01B10.1,"0,453138","0,225703","2,007674",1.005525027872,,
C01B10.10,C01B10.10,C01B10.10,"0,152434","0,043466","3,506939",1.810212336447,1,
C01B10.11,C01B10.11,C01B10.11,"1,37347","0,469286","2,926723",1.549286208187,1,
C01B10.3,C01B10.3,C01B10.3,"0,351799","0,294572","1,194272",0.256131453320,,
C01B10.4,C01B10.4,C01B10.4,"0,046207","0,007771","5,945724",2.571852495019,1,
hil-7,C01B10.5,C01B10.5a,"0,539932","3,03855","0,177694",-2.492533126612,,1
hil-7,C01B10.5,C01B10.5b.1,"0,46696","2,84951","0,163874",-2.609341118098,,1
hil-7,C01B10.5,C01B10.5b.2,"0,513347","3,12585","0,164226",-2.606245544497,,1
hil-7,C01B10.5,C01B10.5c,"0,497133","3,00473","0,16545",-2.595532803237,,1
hil-7,C01B10.5,C01B10.5e,"0,654487","3,22922","0,202676",-2.302752833566,,1
C01B10.6,C01B10.6,C01B10.6a.1,"24,7712","2,43324","10,180336",3.347713272955,1,
C01B10.6,C01B10.6,C01B10.6a.2,"24,7596","2,43205","10,180547",3.347743174276,1,
C01B10.6,C01B10.6,C01B10.6b,"23,1127","2,53996","9,099631",3.185808043634,1,
C01B10.7,C01B10.7,C01B10.7,"0,012353","0,006876","1,796661",0.845318222005,,
C01B10.8,C01B10.8,C01B10.8.1,"0,544621","0,473996","1,148999",0.200377542374,,
C01B10.8,C01B10.8,C01B10.8.2,"0,503582","0,430625","1,169421",0.225794404009,,
C01B10.9,C01B10.9,C01B10.9,"0,59652","0,378287","1,576898",0.657089343925,,
sqt-2,C01B12.1,C01B12.1,"4,24123","0,27767","15,274354",3.933039460155,1,
C01B12.2,C01B12.2,C01B12.2,"0,281847","0,233469","1,207214",0.271681441936,,
C01B12.3,C01B12.3,C01B12.3,"0,04392","0,032445","1,353702",0.436910183197,,
C01B12.4,C01B12.4,C01B12.4,"0,009692","0,016522","0,586576",-0.769610051050,,
C01B12.5,C01B12.5,C01B12.5,"0,005642","0,003569","1,580702",0.660565410932,,
C01B12.7,C01B12.7,C01B12.7,"0,416684","0,195947","2,126514",1.088490353042,,
C01B12.8,C01B12.8,C01B12.8,"1,151","0,407276","2,826093",1.498808942116,1,
str-257,C01B4.1,C01B4.1,nan,nan,,,,
str-76,C01B4.10,C01B4.10,nan,nan,,,,
str-258,C01B4.3,C01B4.3,nan,nan,,,,
srd-61,C01B4.5,C01B4.5,nan,nan,,,,
C01B4.6,C01B4.6,C01B4.6,nan,nan,,,,
C01B4.7,C01B4.7,C01B4.7,nan,nan,,,,
C01B4.8,C01B4.8,C01B4.8,nan,nan,,,,
C01B4.9,C01B4.9,C01B4.9,nan,nan,,,,
C01B7.1,C01B7.1,C01B7.1a.1,"0,307577","0,237188","1,296765",0.374917057807,,
C01B7.1,C01B7.1,C01B7.1a.2,"0,311261","0,24019","1,295895",0.373948828472,,
C01B7.1,C01B7.1,C01B7.1b,"0,537842","0,42072","1,278385",0.354322385537,,
C01B7.3,C01B7.3,C01B7.3,"0,006328","0,000554","11,424048",3.514002041098,1,
tag-117,C01B7.4,C01B7.4,"0,19217","0,129743","1,481159",0.566726519897,,
C01B7.5,C01B7.5,C01B7.5,"0,005231","0,032789","0,159543",-2.647982783587,,1
rpm-1,C01B7.6,C01B7.6,"0,083935","0,061987","1,354057",0.437288471473,,
C01B7.7,C01B7.7,C01B7.7,nan,nan,,,,
C01B9.1,C01B9.1,C01B9.1,"0,015454","0,005575","2,771982",1.470917889295,1,
clc-2,C01C10.1,C01C10.1,"0,20787","0,184988","1,123695",0.168250503798,,
C01C10.2,C01C10.2,C01C10.2a,"0,857903","0,365281","2,348611",1.231807779827,,
C01C10.2,C01C10.2,C01C10.2b,"0,540656","0,331513","1,630874",0.705645324909,,
acl-12,C01C10.3,C01C10.3,"1,43793","0,625998","2,29702",1.199763418220,,
clc-5,C01C10.4,C01C10.4,"0,303952","0,293691","1,034938",0.049544342824,,
nlp-1,C01C4.1,C01C4.1,"0,731216","0,85913","0,851112",-0.232579102562,,
C01C4.2,C01C4.2,C01C4.2,"0,005469","0,005473","0,999295",-0.001017458700,,
C01C4.3,C01C4.3,C01C4.3a,"0,152579","0,149649","1,019579",0.027973563969,,
C01C4.3,C01C4.3,C01C4.3b,"0,157101","0,177578","0,884687",-0.176760971239,,
ark-1,C01C7.1,C01C7.1,"0,412018","0,364156","1,131433",0.178151155149,,
C01F1.1,C01F1.1,C01F1.1,"0,908574","0,67089","1,354282",0.437528180302,,
C01F1.2,C01F1.2,C01F1.2,"0,829633","0,519426","1,597211",0.675554912966,,
C01F1.3,C01F1.3,C01F1.3a.1,"0,414034","0,116574","3,551684",1.828503228109,1,
C01F1.3,C01F1.3,C01F1.3a.2,"0,417648","0,114559","3,645702",1.866196640178,1,
C01F1.3,C01F1.3,C01F1.3b,"0,373472","0,192981","1,935279",0.952541567869,,
C01F1.4,C01F1.4,C01F1.4,"0,024795","0,019484","1,272609",0.347789229601,,
C01F1.5,C01F1.5,C01F1.5,"0,061403","0,003343","18,365381",4.198916920775,1,
C01F1.6,C01F1.6,C01F1.6,"0,785323","0,589238","1,332777",0.414435409153,,
C01F4.2,C01F4.2,C01F4.2a,"0,075027","0,076778","0,977194",-0.033283089445,,
C01F4.2,C01F4.2,C01F4.2b,"0,047594","0,040429","1,177231",0.235397438350,,
C01F6.1,C01F6.1,C01F6.1,"0,618992","0,473469","1,307355",0.386650944651,,
C01F6.2,C01F6.2,C01F6.2,"0,007656","0,009291","0,824071",-0.279159452946,,
fem-3,C01F6.4,C01F6.4,"0,398698","0,250473","1,59178",0.670640954700,,
aly-1,C01F6.5,C01F6.5,"1,70888","1,66174","1,028368",0.040356623258,,
tag-60,C01F6.6,C01F6.6a,"4,38914","1,17715","3,728616",1.898640225532,1,
tag-60,C01F6.6,C01F6.6b,"3,13848","0,905309","3,46675",1.793583802285,1,
tag-60,C01F6.6,C01F6.6c,"3,91665","1,13141","3,461742",1.791498206163,1,
tag-60,C01F6.6,C01F6.6d,"3,76349","1,08451","3,470222",1.795027959073,1,
tag-60,C01F6.6,C01F6.6e.1,"4,79525","1,19474","4,013635",2.004909423967,1,
tag-60,C01F6.6,C01F6.6e.2,"4,56734","1,22593","3,725612",1.897477434123,1,
tag-60,C01F6.6,C01F6.6e.3,"4,17539","1,12782","3,702178",1.888374261374,1,
tag-60,C01F6.6,C01F6.6e.4,"4,38914","1,17715","3,728616",1.898640225532,1,
tag-60,C01F6.6,C01F6.6e.5,"3,98995","1,11149","3,589731",1.843875738336,1,
icl-1,C01F6.8,C01F6.8a,"2,7766","1,96073","1,416105",0.501928240960,,
icl-1,C01F6.8,C01F6.8b,"2,34017","1,64463","1,422916",0.508850496748,,
C01F6.9,C01F6.9,C01F6.9,"17,5308","13,5764","1,29127",0.368790694629,,
C01G10.1,C01G10.1,C01G10.1,0,"0,000069",0,,,
C01G10.10,C01G10.10,C01G10.10,"0,217464","0,166327","1,307449",0.386754671993,,
unc-76,C01G10.11,C01G10.11a.1,"1,52697","1,1508","1,326877",0.408034640705,,
unc-76,C01G10.11,C01G10.11a.2,"1,45484","1,02653","1,417241",0.503085107544,,
unc-76,C01G10.11,C01G10.11b.1,"0,906917","0,675849","1,341893",0.424269638361,,
unc-76,C01G10.11,C01G10.11b.2,"1,43202","1,00297","1,427779",0.513772687856,,
dnj-3,C01G10.12,C01G10.12,"0,35474","0,153789","2,306667",1.205809745623,,
C01G10.14,C01G10.14,C01G10.14,0,0,,,,
C01G10.15,C01G10.15,C01G10.15,"0,174377","0,451917","0,385861",-1.373846860674,,
C01G10.16,C01G10.16,C01G10.16,"0,041713","0,052718","0,791238",-0.337816380248,,
C01G10.17,C01G10.17,C01G10.17,"0,387822","0,03824","10,141736",3.342232720032,1,
srx-79,C01G10.2,C01G10.2,0,0,,,,
srx-78,C01G10.3,C01G10.3,0,0,,,,
C01G10.4,C01G10.4,C01G10.4,"1,47991","0,060853","24,319426",4.604037272817,1,
C01G10.5,C01G10.5,C01G10.5,"0,855322","0,04224","20,249148",4.339789301550,1,
C01G10.6,C01G10.6,C01G10.6,"0,621487","0,335997","1,84968",0.887275701906,,
C01G10.7,C01G10.7,C01G10.7,"0,536924","0,554469","0,968357",-0.046389077162,,
C01G10.8,C01G10.8,C01G10.8.1,"3,55217","4,20304","0,845143",-0.242732625757,,
C01G10.8,C01G10.8,C01G10.8.2,"3,60335","3,94182","0,914134",-0.129522434018,,
C01G10.9,C01G10.9,C01G10.9,"0,649305","0,794662","0,817083",-0.291445458859,,
C01G12.1,C01G12.1,C01G12.1,"0,136233","0,056323","2,418794",1.274287905393,,
nspb-8,C01G12.10,C01G12.10,0,"0,00287",0,,,
nspb-9,C01G12.11,C01G12.11,0,"0,005889",0,,,
C01G12.13,C01G12.13,C01G12.13,0,0,,,,
nspb-7,C01G12.2,C01G12.2,0,"0,001802",0,,,
C01G12.3,C01G12.3,C01G12.3,"0,100266","0,122583","0,817944",-0.289926021510,,
C01G12.5,C01G12.5,C01G12.5,0,"0,002163",0,,,
nspb-10,C01G12.6,C01G12.6,0,"0,005079",0,,,
C01G12.7,C01G12.7,C01G12.7,"0,030491","0,035549","0,857736",-0.221394421636,,
C01G12.8,C01G12.8,C01G12.8,"0,001999","0,003807","0,525081",-0.929388102043,,
C01G12.9,C01G12.9,C01G12.9,0,0,,,,
tag-292,C01G5.2,C01G5.2,"0,902943","0,661027","1,36597",0.449925798909,,
C01G5.3,C01G5.3,C01G5.3,0,"0,000229",0,,,
C01G5.4,C01G5.4,C01G5.4,"0,000151","0,000227","0,668689",-0.580592709849,,
C01G5.5,C01G5.5,C01G5.5,"0,43998","0,371529","1,184241",0.243962707761,,
C01G5.6,C01G5.6,C01G5.6,"1,55392","1,40272","1,107791",0.147685722809,,
C01G5.7,C01G5.7,C01G5.7,"0,004338","0,022112","0,196187",-2.349698647912,,1
C01G5.8,C01G5.8,C01G5.8,"0,35192","0,209395","1,680651",0.749020169046,,
C01G5.9,C01G5.9,C01G5.9,"0,024847","0,008369","2,969004",1.569979037001,1,
aqp-2,C01G6.1,C01G6.1a.1,"4,4349","7,35585","0,602908",-0.729990222231,,
aqp-2,C01G6.1,C01G6.1a.2,"4,46002","7,36651","0,605445",-0.723932186712,,
aqp-2,C01G6.1,C01G6.1b.1,"4,27892","7,11076","0,601753",-0.732756665708,,
aqp-2,C01G6.1,C01G6.1b.2,"4,27525","7,9773","0,535927",-0.899891594037,,
C01G6.2,C01G6.2,C01G6.2,"0,016386","0,064209","0,255189",-1.970361952256,,1
C01G6.3,C01G6.3,C01G6.3,"3,2555","3,10901","1,047118",0.066424029110,,
C01G6.4,C01G6.4,C01G6.4,"1,55498","1,59747","0,973402",-0.038892356035,,
C01G6.5,C01G6.5,C01G6.5,"1,87168","1,60226","1,16815",0.224225539938,,
tag-165,C01G6.6,C01G6.6a.1,"0,948019","0,600647","1,57833",0.658398878095,,
tag-165,C01G6.6,C01G6.6a.2,"0,980848","0,580285","1,690287",0.757268227764,,
tag-165,C01G6.6,C01G6.6a.3,"0,980032","0,582542","1,682337",0.750466730284,,
tag-165,C01G6.6,C01G6.6b,"1,1997","0,970673","1,235947",0.305616878779,,
C01G6.7,C01G6.7,C01G6.7,"0,627948","0,152606","4,114832",2.040833529623,1,
cam-1,C01G6.8,C01G6.8a,"0,876231","0,931943","0,94022",-0.088929725573,,
cam-1,C01G6.8,C01G6.8b,"0,876231","0,931943","0,94022",-0.088929725573,,
cam-1,C01G6.8,C01G6.8c,"0,876231","0,931943","0,94022",-0.088929725573,,
C01G6.9,C01G6.9,C01G6.9,"0,025431","0,036141","0,703665",-0.507039339129,,
C01G8.1,C01G8.1,C01G8.1,"2,1723","1,92329","1,129471",0.175647228949,,
cln-3.2,C01G8.2,C01G8.2.1,"0,257933","0,224538","1,148728",0.200037231834,,
cln-3.2,C01G8.2,C01G8.2.2,"0,249305","0,229208","1,08768",0.121254172105,,
dhs-1,C01G8.3,C01G8.3,"0,830904","0,682544","1,217363",0.283759422951,,
dnj-4,C01G8.4,C01G8.4,"0,237768","0,147296","1,614219",0.690836321355,,
erm-1,C01G8.5,C01G8.5a.1,"4,85622","2,11725","2,293645",1.197642114818,,
erm-1,C01G8.5,C01G8.5a.2,"4,85698","2,11781","2,293397",1.197486115213,,
erm-1,C01G8.5,C01G8.5b,"4,85279","2,12625","2,282323",1.190502979849,,
C01G8.6,C01G8.6,C01G8.6,"0,325084","0,436464","0,744813",-0.425049840906,,
lss-4,C01G8.9,C01G8.9a,"1,4074","1,69935","0,828199",-0.271950634145,,
lss-4,C01G8.9,C01G8.9b,"1,1344","1,21387","0,934532",-0.097684029685,,
col-61,C01H6.1,C01H6.1,"0,041809","0,003883","10,766663",3.428499267765,1,
C01H6.2,C01H6.2,C01H6.2,"0,036336","0,02348","1,547534",0.629971106430,,
C01H6.3,C01H6.3,C01H6.3,"0,060739","0,045259","1,342039",0.424426597238,,
C01H6.4,C01H6.4,C01H6.4,"0,378175","0,059854","6,318344",2.659546486243,1,
nhr-23,C01H6.5,C01H6.5a,"0,599457","0,3374","1,776695",0.829196039412,,
nhr-23,C01H6.5,C01H6.5b.1,"0,581848","0,337438","1,724311",0.786020005107,,
nhr-23,C01H6.5,C01H6.5b.2,"0,59968","0,345484","1,735768",0.795574132335,,
nhr-23,C01H6.5,C01H6.5b.3,"0,622817","0,3254","1,914004",0.936593844857,,
nhr-23,C01H6.5,C01H6.5c,"0,629685","0,367619","1,712874",0.776419029845,,
nhr-23,C01H6.5,C01H6.5d,"0,631455","0,396887","1,59102",0.669951971256,,
nhr-23,C01H6.5,C01H6.5e.1,"0,622817","0,3254","1,914004",0.936593844857,,
nhr-23,C01H6.5,C01H6.5e.2,"0,636102","0,396054","1,606099",0.683560823370,,
nhr-23,C01H6.5,C01H6.5f.1,"0,595138","0,339823","1,751318",0.808441068562,,
nhr-23,C01H6.5,C01H6.5f.2,"0,59546","0,339985","1,75143",0.808533328608,,
C01H6.6,C01H6.6,C01H6.6,"0,087258","0,056892","1,53374",0.617053937533,,
tag-298,C01H6.7,C01H6.7,"1,09103","0,813612","1,340971",0.423278037683,,
C01H6.8,C01H6.8,C01H6.8,"0,1684","0,030119","5,591229",2.483165434647,1,
C01H6.9,C01H6.9,C01H6.9,"0,261986","0,19025","1,377062",0.461593515957,,
gst-33,C02A12.1,C02A12.1,"0,011794","0,013272","0,888614",-0.170371223884,,
srbc-33,C02A12.10,C02A12.10,0,0,,,,
srbc-29,C02A12.2,C02A12.2,0,0,,,,
srbc-30,C02A12.3,C02A12.3,0,0,,,,
lys-7,C02A12.4,C02A12.4.1,"24,8429","10,1073","2,457917",1.297436198986,,
lys-7,C02A12.4,C02A12.4.2,"24,5405","9,91703","2,474582",1.307184849452,,
srbc-32,C02A12.5,C02A12.5,0,"0,000447",0,,,
srbc-36,C02A12.6,C02A12.6,0,0,,,,
C02A12.8,C02A12.8,C02A12.8,0,"0,00014",0,,,
srbc-31,C02A12.9,C02A12.9,0,0,,,,
C02B10.1,C02B10.1,C02B10.1,"2,07093","1,3246","1,563438",0.644722008603,,
C02B10.2,C02B10.2,C02B10.2,"2,37321","1,9232","1,23399",0.303330703232,,
C02B10.3,C02B10.3,C02B10.3.1,"0,458281","0,409608","1,118828",0.161988264536,,
C02B10.3,C02B10.3,C02B10.3.2,"0,721467","0,605709","1,191112",0.252309075878,,
C02B10.4,C02B10.4,C02B10.4.1,"2,99958","2,56433","1,169732",0.226178028475,,
C02B10.4,C02B10.4,C02B10.4.2,"3,7927","2,85712","1,327456",0.408664042096,,
C02B10.5,C02B10.5,C02B10.5.1,"0,899729","0,915893","0,982352",-0.025688025887,,
C02B10.5,C02B10.5,C02B10.5.2,"0,816405","0,900715","0,906397",-0.141785008765,,
C02B10.5,C02B10.5,C02B10.5.3,"0,840692","0,918894","0,914896",-0.128320339263,,
C02B10.6,C02B10.6,C02B10.6,0,0,,,,
adt-1,C02B4.1,C02B4.1,"0,051858","0,013553","3,826404",1.935989204585,1,
nhr-17,C02B4.2,C02B4.2,"0,224065","0,137002","1,635487",0.709720291912,,
C02B4.3,C02B4.3,C02B4.3,"0,00795","0,161614","0,049188",-4.345549793968,,1
C02B8.1,C02B8.1,C02B8.1.1,"0,027126","0,023551","1,151779",0.203863923212,,
C02B8.1,C02B8.1,C02B8.1.2,"0,022478","0,032024","0,701923",-0.510615317365,,
C02B8.2,C02B8.2,C02B8.2,0,0,,,,
C02B8.3,C02B8.3,C02B8.3,"0,134223","0,081777","1,641335",0.714869726063,,
hlh-8,C02B8.4,C02B8.4,"0,114995","0,080696","1,425041",0.511003427801,,
C02B8.5,C02B8.5,C02B8.5,"0,010367","0,003506","2,956508",1.563894180889,1,
C02B8.6,C02B8.6,C02B8.6,"0,270294","0,200182","1,350241",0.433216932072,,
C02B8.7,C02B8.7,C02B8.7,0,0,,,,
tyr-1,C02C2.1,C02C2.1.1,"0,30691","0,166426","1,844123",0.882934884385,,
tyr-1,C02C2.1,C02C2.1.2,"0,318397","0,165266","1,926573",0.946036852358,,
cup-4,C02C2.3,C02C2.3,"0,23345","0,092701","2,51832",1.332461616290,,
C02C2.4,C02C2.4,C02C2.4,"0,047196","0,008356","5,647917",2.497718887375,1,
C02C2.5,C02C2.5,C02C2.5,"0,079976","0,034311","2,330918",1.220898252397,,
dyn-1,C02C6.1,C02C6.1a,"0,815262","0,7784","1,047356",0.066751902763,,
dyn-1,C02C6.1,C02C6.1b,"0,836619","0,79766","1,048842",0.068797363344,,
C02C6.2,C02C6.2,C02C6.2a,"0,159586","0,224383","0,711221",-0.491630172086,,
C02C6.2,C02C6.2,C02C6.2b,"0,155987","0,217878","0,715937",-0.482095454027,,
C02C6.3,C02C6.3,C02C6.3a,"0,773487","0,532158","1,453491",0.539522138350,,
C02C6.3,C02C6.3,C02C6.3b,"0,817942","0,561692","1,456211",0.542219412266,,
C02D4.1,C02D4.1,C02D4.1,"0,016829","0,000626","26,878442",4.748377610087,1,
ser-2,C02D4.2,C02D4.2a,"0,0557","0,027828","2,001567",1.001129908980,,
ser-2,C02D4.2,C02D4.2b,"0,056242","0,02811","2,000818",1.000589941637,,
ser-2,C02D4.2,C02D4.2c,"0,044082","0,031725","1,389509",0.474575179060,,
ser-2,C02D4.2,C02D4.2d,"0,045041","0,03322","1,355843",0.439190131103,,
ser-2,C02D4.2,C02D4.2e,"0,059525","0,029788","1,998325",0.998791236663,,
