GenePublicName,SequenceNameGene,SequenceNameTranscript,Db10,OP50,Ratio_Db10vsOP50,log2_Ratio_Db10vsOP50,Infection_upregulated,Infection_downregulated
cat-2,B0432.5,B0432.5a,0,"0,004533",0,,,
cat-2,B0432.5,B0432.5b,0,"0,004679",0,,,
B0432.6,B0432.6,B0432.6,"0,167986","0,151043","1,112173",0.153381218663,,
B0432.7,B0432.7,B0432.7,"0,130724","0,137478","0,950872",-0.072676946645,,
B0432.8,B0432.8,B0432.8,"0,31576","0,223981","1,409762",0.495451623332,,
B0432.9,B0432.9,B0432.9,"0,035927","0,056745","0,633135",-0.659414944262,,
lin-8,B0454.1,B0454.1,"0,216181","0,229961","0,940077",-0.089149164726,,
sri-30,B0454.10,B0454.10,"0,047141","0,025387","1,856899",0.892895346689,,
sri-31,B0454.2,B0454.2,0,"0,005986",0,,,
sri-28,B0454.3,B0454.3,0,0,,,,
sri-29,B0454.4,B0454.4,"0,045887","0,026548","1,728449",0.789478035748,,
B0454.5,B0454.5,B0454.5,"0,251905","0,368266","0,68403",-0.547868495065,,
B0454.6,B0454.6,B0454.6,"0,07296","0,082847","0,880653",-0.183354422840,,
clec-2,B0454.7,B0454.7,0,"0,001139",0,,,
B0454.8,B0454.8,B0454.8,"0,018222","0,004841","3,763692",1.912148570613,1,
B0454.9,B0454.9,B0454.9,"0,166446","0,286607","0,580746",-0.784020782659,,
lat-1,B0457.1,B0457.1a,"1,44678","1,19066","1,215108",0.281084547691,,
lat-1,B0457.1,B0457.1b,"1,35713","1,14529","1,184966",0.244845664748,,
lat-1,B0457.1,B0457.1c,"1,59501","1,33843","1,191702",0.253023516948,,
B0457.2,B0457.2,B0457.2,"0,370553","0,334023","1,109364",0.149732814401,,
B0457.4,B0457.4,B0457.4,0,0,,,,
B0457.6,B0457.6,B0457.6,"1,97014","1,77951","1,107125",0.146818118867,,
B0462.1,B0462.1,B0462.1,"0,00099","0,002543","0,389252",-1.361223642911,,
fbxb-119,B0462.3,B0462.3,"0,039896","0,022148","1,801364",0.849089734789,,
B0462.4,B0462.4,B0462.4,0,"0,004426",0,,,
drs-1,B0464.1,B0464.1.1,"3,28553","2,77387","1,184457",0.244225824570,,
drs-1,B0464.1,B0464.1.2,"3,39567","2,66005","1,276544",0.352243265507,,
B0464.2,B0464.2,B0464.2,"0,814947","0,672242","1,212282",0.277725336334,,
nlp-36,B0464.3,B0464.3.1,"23,3371","32,3229","0,721999",-0.469931255969,,
nlp-36,B0464.3,B0464.3.2,"22,6751","31,3378","0,72357",-0.466795501395,,
bre-3,B0464.4,B0464.4.1,"1,02799","0,828594","1,240644",0.311089196761,,
bre-3,B0464.4,B0464.4.2,"1,14438","1,00617","1,137362",0.185691508834,,
spk-1,B0464.5,B0464.5a,"1,34883","1,19768","1,126202",0.171465618059,,
spk-1,B0464.5,B0464.5b.1,"2,39426","2,41575","0,991104",-0.012891642509,,
spk-1,B0464.5,B0464.5b.2,"2,18452","1,89733","1,151365",0.203345261979,,
spk-1,B0464.5,B0464.5c.1,"2,21757","2,25706","0,982504",-0.025464813960,,
spk-1,B0464.5,B0464.5c.2,"1,93133","1,88617","1,023943",0.034135406836,,
B0464.6,B0464.6,B0464.6.1,"1,36226","0,873813","1,558983",0.640605196189,,
B0464.6,B0464.6,B0464.6.2,"1,33944","0,872263","1,535592",0.618794949284,,
