GenePublicName,SequenceNameGene,SequenceNameTranscript,EF,OP50,Ratio_EFvsOP50,log2_Ratio_EFvsOP50,Infection_upregulated,Infection_downregulated
B0393.4,B0393.4,B0393.4,"0,009463","0,000733",12.909986357435,3.69041557097,1,
B0393.5,B0393.5,B0393.5,"0,116244","0,018641",6.235931548737,2.64060509179,1,
B0393.6,B0393.6,B0393.6,"2,56655","1,2615",2.034522393975,1.02469016023,,
B0393.7,B0393.7,B0393.7,"0,029309","0,00801",3.659076154806,1.87147944219,1,
B0393.8,B0393.8,B0393.8,nan,nan,,,,
B0393.9,B0393.9,B0393.9.1,"0,508167","0,327622",1.551077155991,0.63327045285,,
B0393.9,B0393.9,B0393.9.2,"0,579182","0,344215",1.682616969046,0.75070679892,,
nhx-1,B0395.1,B0395.1,"0,058013","0,018556",3.126347273119,1.64447804110,,
B0395.2,B0395.2,B0395.2,"0,086788","0,022281",3.895148332660,1.96167826916,1,
B0395.3,B0395.3,B0395.3.1,"0,909843","0,615768",1.477574346182,0.56323072341,,
B0395.3,B0395.3,B0395.3.2,"0,953027","0,634352",1.502363041340,0.58723347773,,
B0399.1,B0399.1,B0399.1a,"0,339074","0,15347",2.209382941291,1.14364349548,,
B0399.1,B0399.1,B0399.1b,"0,383268","0,162383",2.360271703319,1.23895294538,,
B0399.1,B0399.1,B0399.1c,"0,463605","0,193386",2.397303837920,1.26141276993,,
B0399.1,B0399.1,B0399.1d,"0,367251","0,157882",2.326110639592,1.21791971908,,
B0399.1,B0399.1,B0399.1e,"0,391623","0,170036",2.303176974288,1.20362527093,,
B0399.2,B0399.2,B0399.2,"0,023797","0,020437",1.164393012673,0.21957808723,,
ubc-17,B0403.2,B0403.2,"0,036636","0,016549",2.213801438153,1.14652582870,,
B0403.3,B0403.3,B0403.3,"0,287343","0,188793",1.522000286028,0.60596862997,,
tag-320,B0403.4,B0403.4,"4,25405","3,31294",1.284070946048,0.36072491483,,
B0403.5,B0403.5,B0403.5,"0,067167","0,02813",2.387731958763,1.25564089210,,
B0403.6,B0403.6,B0403.6,"0,072332","0,047972",1.507789960810,0.59243547131,,
B0410.1,B0410.1,B0410.1,0,0,,,,
vang-1,B0410.2,B0410.2a,"0,257247","0,239025",1.076234703483,0.10599273275,,
vang-1,B0410.2,B0410.2b,"0,240219","0,227022",1.058130930042,0.08151815338,,
B0410.3,B0410.3,B0410.3,"0,604936","0,356707",1.695890464723,0.76204299118,,
dac-1,B0412.1,B0412.1a,"0,045112","0,012996",3.471244998461,1.79545319334,1,
dac-1,B0412.1,B0412.1b,"0,043521","0,011728",3.710854365621,1.89175138284,1,
