GenePublicName,SequenceNameGene,SequenceNameTranscript,DC,OP50,Ratio_DCvsOP50,log2_Ratio_DCvsOP50,Infection_upregulated,Infection_downregulated
B0391.3,B0391.3,B0391.3,0,0,,,,
str-12,B0391.4,B0391.4,"0,000179","0,002085",0.085790417898,-3.54303967053,,1
B0391.5,B0391.5,B0391.5,"0,06958","0,055732",1.248478878344,0.32017141409,,
B0391.6,B0391.6,B0391.6,"0,000505","0,000686",0.736216550495,-0.44179791234,,
B0391.9,B0391.9,B0391.9,"0,008974","0,002874",3.122513030710,1.64270759243,1,
rps-0,B0393.1,B0393.1.1,"119,918","137,813",0.870150130975,-0.20066375769,,
rps-0,B0393.1,B0393.1.2,"121,326","140,613",0.862836295364,-0.21284122989,,
rps-0,B0393.1,B0393.1.3,"120,63","140,315",0.859708512989,-0.21808050269,,
rps-0,B0393.1,B0393.1.4,"120,978","140,465",0.861267931513,-0.21546597999,,
rbg-3,B0393.2,B0393.2.1,"1,82711","2,1544",0.848082992945,-0.23772264183,,
rbg-3,B0393.2,B0393.2.2,"1,81864","2,20514",0.824727681689,-0.27801026296,,
B0393.3,B0393.3,B0393.3,"2,26042","2,34511",0.963886555428,-0.05306473635,,
B0393.4,B0393.4,B0393.4,"0,024869","0,026679",0.932145387213,-0.10137310454,,
B0393.5,B0393.5,B0393.5,"0,012257","0,01897",0.646127001866,-0.63011032787,,1
B0393.6,B0393.6,B0393.6,"3,12482","3,40119",0.918743145781,-0.12226651314,,
B0393.7,B0393.7,B0393.7,"0,002459","0,002354",1.044753991113,0.06316326998,,
B0393.8,B0393.8,B0393.8,nan,nan,,,,
B0393.9,B0393.9,B0393.9.1,"0,374857","0,276027",1.358044684035,0.44153094967,,
B0393.9,B0393.9,B0393.9.2,"0,415052","0,309352",1.341681967467,0.42404273537,,
nhx-1,B0395.1,B0395.1,"0,035048","0,052461",0.668072144472,-0.58192418852,,
B0395.2,B0395.2,B0395.2,"0,007842","0,007739",1.013341035054,0.01911978794,,
B0395.3,B0395.3,B0395.3.1,"1,21028","1,6622",0.728119359884,-0.45775312551,,
B0395.3,B0395.3,B0395.3.2,"1,26638","1,76406",0.717878076709,-0.47818925511,,
B0399.1,B0399.1,B0399.1a,"0,054214","0,087464",0.619846862184,-0.69001626400,,1
B0399.1,B0399.1,B0399.1b,"0,065982","0,097529",0.676540703487,-0.56375135957,,
B0399.1,B0399.1,B0399.1c,"0,075598","0,114097",0.662576579577,-0.59384088622,,1
B0399.1,B0399.1,B0399.1d,"0,059024","0,092108",0.640812652945,-0.64202546062,,1
B0399.1,B0399.1,B0399.1e,"0,063375","0,098589",0.642824177619,-0.63750390285,,1
B0399.2,B0399.2,B0399.2,"0,00119","0,001504",0.790999734113,-0.33825088514,,
ubc-17,B0403.2,B0403.2,"0,010104","0,012153",0.831417498416,-0.26635498295,,
