#WBPaper00031003_24hr_muscle_enriched_WBbt_0003675_918
Tissue,Expected,Observed,Enrichment Fold Change,P value,Q value
anal depressor muscle WBbt:0004292,28.670250896057347,87,3.03450431303913,8.152282787760168e-24,2.1114412420298835e-21
muscle cell WBbt:0003675,92.82078853046595,168,1.8099393752172066,7.896847238849838e-20,1.0226417174310541e-17
anal sphincter muscle WBbt:0005798,8.376344086021506,33,3.9396662387676504,4.2618487181315774e-13,3.679396059986928e-11
intestinal muscle WBbt:0005796,13.279569892473118,34,2.5603238866396762,6.59735064847227e-08,4.271784544885795e-06
uterine muscle WBbt:0005342,8.989247311827958,25,2.781100478468899,5.545215079351391e-07,2.8724214111040206e-05
