wbid,intestine,head,pharynx,hypodermis,tail,vulvalmuscle,tailneurons,bodywallmusculature,vulva,ventralnervecord,nervoussystem,spermatheca,headneurons,germline
WBGene00000216,1,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00000218,1,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00000220,0,0,0,0,0,0,1,0,0,1,0,0,1,0
WBGene00000222,1,0,0,0,0,0,0,0,1,0,1,0,0,0
WBGene00000223,1,0,0,1,0,0,0,1,0,0,1,0,0,0
WBGene00000228,0,0,0,0,1,0,0,0,0,0,0,0,0,0
WBGene00000229,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00000231,0,0,0,0,0,0,0,1,0,1,0,0,0,0
WBGene00000232,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00000233,0,0,0,0,0,0,0,0,0,1,0,0,0,0
WBGene00000237,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00000238,0,0,0,0,0,1,0,0,1,0,0,0,0,0
WBGene00000239,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00000240,0,0,0,1,0,0,0,0,0,0,0,0,0,0
WBGene00000241,0,0,0,0,0,0,1,0,0,0,0,0,1,0
WBGene00000242,0,0,0,0,0,0,1,0,0,0,0,0,1,0
WBGene00000244,0,1,0,0,0,0,1,0,0,0,0,0,0,0
WBGene00000246,0,0,0,1,0,0,0,0,0,0,0,0,0,0
WBGene00000247,0,0,0,1,0,0,0,0,0,0,1,0,0,0
WBGene00000251,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00000254,0,1,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00000255,0,0,0,0,0,0,0,0,1,0,0,0,0,0
WBGene00000266,0,0,0,0,0,0,0,0,0,0,0,0,1,0
WBGene00000268,0,0,0,0,0,0,0,0,0,0,0,0,1,0
WBGene00000272,0,0,0,1,0,0,0,0,0,0,0,0,0,0
WBGene00000275,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00000279,0,0,0,0,0,0,0,0,0,0,1,0,0,0
WBGene00000280,1,0,1,0,0,0,0,0,1,0,1,0,0,0
WBGene00000281,1,0,1,0,0,0,0,0,1,0,1,0,0,0
WBGene00000282,1,0,1,1,0,0,0,1,1,0,1,0,0,0
WBGene00000283,1,0,1,1,0,0,0,1,1,0,1,0,0,0
WBGene00000284,0,0,0,0,0,0,0,0,0,0,1,0,0,0
WBGene00000289,1,0,1,1,0,0,0,1,0,0,1,0,0,0
WBGene00000293,0,0,0,0,1,0,0,0,0,0,0,0,0,0
WBGene00000294,1,0,1,0,0,0,0,1,0,0,1,1,0,0
WBGene00000295,0,0,0,0,0,0,0,0,0,0,1,0,0,0
WBGene00000296,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00000298,0,0,0,0,0,0,0,1,0,0,0,0,0,0
WBGene00000301,0,0,0,0,0,0,0,0,0,0,1,0,0,0
WBGene00000366,0,1,0,0,1,0,0,0,0,0,0,0,0,0
WBGene00000367,1,0,0,0,0,0,0,1,0,0,1,0,0,0
WBGene00000368,0,0,0,0,0,0,0,0,0,0,1,0,0,0
WBGene00000369,0,0,0,0,0,0,0,0,0,0,0,0,0,1
WBGene00000372,1,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00000376,0,0,1,0,0,0,1,1,0,0,0,0,1,1
WBGene00000377,0,0,0,0,1,0,0,0,0,0,0,0,0,0
WBGene00000378,0,1,0,0,1,1,0,1,0,0,0,0,0,0
WBGene00000379,0,1,0,0,1,0,0,0,0,0,0,0,0,0
WBGene00000382,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00000386,0,0,0,0,0,0,0,0,0,0,0,0,0,1
