#Table S9 from A validated gene regulatory network and GWAS identifies early regulators of T cell–associated diseases
# Contains all known SNPs at time of publication,,,,,
Link,Disease_Trait,Mapped_gene,Upstream_gene_id (Entrez),Downstream_gene_id (Entrez),p_Value
http://www.ncbi.nlm.nih.gov/pubmed/21926972,Bipolar disorder,RASIP1,,,3.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/21926972,Bipolar disorder,TMEM110,,,2.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/21926972,Bipolar disorder,SPTBN2,,,2.00E-07
http://www.ncbi.nlm.nih.gov/pubmed/21926972,Bipolar disorder,MITD1,100130391,343990,3.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/21926972,Bipolar disorder,NTN5,,,3.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/21926972,Bipolar disorder,TLR9,,,2.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/21926972,Bipolar disorder,SLC29A2,,,2.00E-07
http://www.ncbi.nlm.nih.gov/pubmed/21926972,Bipolar disorder,MGAT4A,100130391,343990,3.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/21926972,Bipolar disorder,MAMSTR,,,3.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/21926972,Bipolar disorder,STAB1,,,2.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/21926972,Bipolar disorder,SF3B2,,,2.00E-07
http://www.ncbi.nlm.nih.gov/pubmed/21926972,Bipolar disorder,LYG1,100130391,343990,3.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/21926972,Bipolar disorder,IZUMO1,,,3.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/21926972,Bipolar disorder,SPCS1,,,2.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/21926972,Bipolar disorder,RIN1,,,2.00E-07
http://www.ncbi.nlm.nih.gov/pubmed/21926972,Bipolar disorder,LYG2,100130391,343990,3.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/21926972,Bipolar disorder,FUT2,,,3.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/21926972,Bipolar disorder,SNORD69,,,2.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/21926972,Bipolar disorder,RCE1,,,2.00E-07
http://www.ncbi.nlm.nih.gov/pubmed/21926972,Bipolar disorder,LIPT1,100130391,343990,3.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/21926972,Bipolar disorder,FUT1,,,3.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/21926972,Bipolar disorder,SNORD19,,,2.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/21926972,Bipolar disorder,RBM4B,,,2.00E-07
http://www.ncbi.nlm.nih.gov/pubmed/21926972,Bipolar disorder,EIF5B,100130391,343990,3.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/21926972,Bipolar disorder,FGF21,,,3.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/21926972,Bipolar disorder,SNORD19B,,,2.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/21926972,Bipolar disorder,RBM4,,,2.00E-07
http://www.ncbi.nlm.nih.gov/pubmed/21926972,Bipolar disorder,C2orf55,100130391,343990,3.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/21926972,Bipolar disorder,FAM83E,,,3.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/21926972,Bipolar disorder,SFMBT1,,,2.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/21926972,Bipolar disorder,RBM14,,,2.00E-07
http://www.ncbi.nlm.nih.gov/pubmed/21926972,Bipolar disorder,C2orf15,100130391,343990,3.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/21926972,Bipolar disorder,DBP,,,3.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/21926972,Bipolar disorder,SEMA3G,,,2.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/21926972,Bipolar disorder,RAB1B,,,2.00E-07
http://www.ncbi.nlm.nih.gov/pubmed/21926972,Bipolar disorder,CA11,,,3.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/21926972,Bipolar disorder,RFT1,,,2.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/21926972,Bipolar disorder,PELI3,,,2.00E-07
http://www.ncbi.nlm.nih.gov/pubmed/21926972,Bipolar disorder,PRKCD,,,2.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/21926972,Bipolar disorder,PC,,,2.00E-07
http://www.ncbi.nlm.nih.gov/pubmed/21926972,Bipolar disorder,PPM1M,,,2.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/21926972,Bipolar disorder,PACS1,,,2.00E-07
http://www.ncbi.nlm.nih.gov/pubmed/21926972,Bipolar disorder,PHF7,,,2.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/21926972,Bipolar disorder,NPAS4,,,2.00E-07
http://www.ncbi.nlm.nih.gov/pubmed/21926972,Bipolar disorder,PBRM1,,,2.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/21926972,Bipolar disorder,MRPL11,,,2.00E-07
http://www.ncbi.nlm.nih.gov/pubmed/21926972,Bipolar disorder,NT5DC2,,,2.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/21926972,Bipolar disorder,LRFN4,,,2.00E-07
http://www.ncbi.nlm.nih.gov/pubmed/21926972,Bipolar disorder,NISCH,,,2.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/21926972,Bipolar disorder,KLC2,,,2.00E-07
http://www.ncbi.nlm.nih.gov/pubmed/21926972,Bipolar disorder,NEK4,,,2.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/21926972,Bipolar disorder,GAL3ST3,,,2.00E-07
http://www.ncbi.nlm.nih.gov/pubmed/21926972,Bipolar disorder,MUSTN1,,,2.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/21926972,Bipolar disorder,DPP3,,,2.00E-07
http://www.ncbi.nlm.nih.gov/pubmed/21926972,Bipolar disorder,LOC440957,,,2.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/21926972,Bipolar disorder,CTSF,,,2.00E-07
http://www.ncbi.nlm.nih.gov/pubmed/21926972,Bipolar disorder,ITIH1,,,2.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/21926972,Bipolar disorder,CNIH2,,,2.00E-07
http://www.ncbi.nlm.nih.gov/pubmed/21926972,Bipolar disorder,ITIH3,,,2.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/21926972,Bipolar disorder,CD248,,,2.00E-07
http://www.ncbi.nlm.nih.gov/pubmed/21926972,Bipolar disorder,ITIH4,,,2.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/21926972,Bipolar disorder,CCS,,,2.00E-07
http://www.ncbi.nlm.nih.gov/pubmed/21926972,Bipolar disorder,GNL3,,,2.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/21926972,Bipolar disorder,CCDC87,,,2.00E-07
http://www.ncbi.nlm.nih.gov/pubmed/21926972,Bipolar disorder,GLYCTK,,,2.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/21926972,Bipolar disorder,C11orf86,,,2.00E-07
http://www.ncbi.nlm.nih.gov/pubmed/21926972,Bipolar disorder,GLT8D1,,,2.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/21926972,Bipolar disorder,C11orf80,,,2.00E-07
http://www.ncbi.nlm.nih.gov/pubmed/21926972,Bipolar disorder,DNAH1,,,2.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/21926972,Bipolar disorder,BRMS1,,,2.00E-07
http://www.ncbi.nlm.nih.gov/pubmed/21926972,Bipolar disorder,BAP1,,,2.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/21926972,Bipolar disorder,BBS1,,,2.00E-07
http://www.ncbi.nlm.nih.gov/pubmed/21926972,Bipolar disorder,ALAS1,,,2.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/21926972,Bipolar disorder,B3GNT1,,,2.00E-07
http://www.ncbi.nlm.nih.gov/pubmed/21926972,Bipolar disorder,ACTN3,,,2.00E-07
http://www.ncbi.nlm.nih.gov/pubmed/23010768,Bipolar disorder (Negative mood delusions),NR,,,NS
http://www.ncbi.nlm.nih.gov/pubmed/21305692,Bipolar disorder (age of onset and psychomotor symptoms),CGNL1,,,1.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/21305692,Bipolar disorder (age of onset and psychomotor symptoms),PRKAG2,,,2.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/23326512,Bipolar disorder (mania),SLITRK1,100873210,100874137,8.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/23326512,Bipolar disorder (mania),SLITRK6,100873210,100874137,8.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/23092984,Bipolar disorder (mood-incongruent),PRSS35,,,1.00E-07
http://www.ncbi.nlm.nih.gov/pubmed/23092984,Bipolar disorder (mood-incongruent),TRANK1,645548,9881,1.00E-07
http://www.ncbi.nlm.nih.gov/pubmed/23092984,Bipolar disorder (mood-incongruent),NUMB,,,7.00E-07
http://www.ncbi.nlm.nih.gov/pubmed/23092984,Bipolar disorder (mood-incongruent),Intergenic,339910,347705,1.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/23092984,Bipolar disorder (mood-incongruent),FBLN2,,,2.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/23092984,Bipolar disorder (mood-incongruent),ATP6V1H,317686,51606,2.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/23092984,Bipolar disorder (mood-incongruent),PBRM1,,,2.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/23092984,Bipolar disorder (mood-incongruent),WSC domain containing 1,23302,100132641,3.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/23092984,Bipolar disorder (mood-incongruent),Intergenic,10076,4146,3.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/23092984,Bipolar disorder (mood-incongruent),MYOM3,,,4.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/23092984,Bipolar disorder (mood-incongruent),AKR1D1,100616226,442726,5.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/23092984,Bipolar disorder (mood-incongruent),KIF5B,,,5.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/23092984,Bipolar disorder (mood-incongruent),BASP1,,,5.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/23092984,Bipolar disorder (mood-incongruent),TMEM217,5292,221468,7.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/23092984,Bipolar disorder (mood-incongruent),INPP4A,,,7.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/23092984,Bipolar disorder (mood-incongruent),CRYBB2P1,,,9.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/23092984,Bipolar disorder (mood-incongruent),SNAP91,,,1.00E-07
http://www.ncbi.nlm.nih.gov/pubmed/23092984,Bipolar disorder (mood-incongruent),LBA,645548,9881,1.00E-07
http://www.ncbi.nlm.nih.gov/pubmed/23092984,Bipolar disorder (mood-incongruent),GNL3,,,2.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/20351715,Bipolar disorder and major depressive disorder (combined),CACNA1C,,,3.00E-08
http://www.ncbi.nlm.nih.gov/pubmed/20351715,Bipolar disorder and major depressive disorder (combined),Intergenic,100127924,100287682,3.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/20351715,Bipolar disorder and major depressive disorder (combined),FAT4,,,8.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/20351715,Bipolar disorder and major depressive disorder (combined),SYNE1,,,1.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/20351715,Bipolar disorder and major depressive disorder (combined),C7orf23,,,1.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/20351715,Bipolar disorder and major depressive disorder (combined),Intergenic,100130718,220107,8.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/20351715,Bipolar disorder and major depressive disorder (combined),C15orf53,10125,400359,1.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/20351715,Bipolar disorder and major depressive disorder (combined),COLEC12,9984,81035,4.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/20351715,Bipolar disorder and major depressive disorder (combined),ANK3,,,5.00E-07
http://www.ncbi.nlm.nih.gov/pubmed/20351715,Bipolar disorder and major depressive disorder (combined),DMTF1,,,1.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/20351715,Bipolar disorder and major depressive disorder (combined),THOC1,9984,81035,4.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/22688191,Bipolar disorder and schizophrenia,Intergenic,391719,728081,3.00E-07
http://www.ncbi.nlm.nih.gov/pubmed/22688191,Bipolar disorder and schizophrenia,Intergenic,391719,728081,3.00E-07
http://www.ncbi.nlm.nih.gov/pubmed/22688191,Bipolar disorder and schizophrenia,MHC,3138,352965,5.00E-07
http://www.ncbi.nlm.nih.gov/pubmed/22688191,Bipolar disorder and schizophrenia,SPTLC1,,,6.00E-07
http://www.ncbi.nlm.nih.gov/pubmed/22688191,Bipolar disorder and schizophrenia,KCNMB2,,,1.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/22688191,Bipolar disorder and schizophrenia,NLRC5,,,3.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/22688191,Bipolar disorder and schizophrenia,MSRA,,,3.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/22688191,Bipolar disorder and schizophrenia,Intergenic,118987,196047,5.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/22688191,Bipolar disorder and schizophrenia,NMUR2,100189508,2890,7.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/22688191,Bipolar disorder and schizophrenia,COMMD10,,,8.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/22688191,Bipolar disorder and schizophrenia,ZDBF2,2825,100874430,9.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/22688191,Bipolar disorder and schizophrenia,MHC,,,9.00E-07
http://www.ncbi.nlm.nih.gov/pubmed/22688191,Bipolar disorder and schizophrenia,MHC,,,3.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/21057379,Bipolar disorder and schizophrenia,CACNG5,27091,27092,6.00E-07
http://www.ncbi.nlm.nih.gov/pubmed/21057379,Bipolar disorder and schizophrenia,LRRIQ3,126811,127255,8.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/21057379,Bipolar disorder and schizophrenia,C3orf39,84892,54861,8.00E-07
http://www.ncbi.nlm.nih.gov/pubmed/21057379,Bipolar disorder and schizophrenia,ERC2,,,6.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/21057379,Bipolar disorder and schizophrenia,PTPRN2,,,8.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/21057379,Bipolar disorder and schizophrenia,PHF8,,,4.00E-07
http://www.ncbi.nlm.nih.gov/pubmed/20889312,Bipolar disorder and schizophrenia,NR,,,7.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/20889312,Bipolar disorder and schizophrenia,NR,,,4.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/20889312,Bipolar disorder and schizophrenia,NR,,,9.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/20889312,Bipolar disorder and schizophrenia,NR,10124,100862677,5.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/20889312,Bipolar disorder and schizophrenia,CYCSP44,6246,349391,1.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/20889312,Bipolar disorder and schizophrenia,NR,,,2.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/20889312,Bipolar disorder and schizophrenia,NR,,,4.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/20889312,Bipolar disorder and schizophrenia,NR,,,4.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/20889312,Bipolar disorder and schizophrenia,NAP5,,,7.00E-07
http://www.ncbi.nlm.nih.gov/pubmed/20889312,Bipolar disorder and schizophrenia,TMEM212,5010,730023,6.00E-07
http://www.ncbi.nlm.nih.gov/pubmed/20889312,Bipolar disorder and schizophrenia,NR,7179,85318,2.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/20889312,Bipolar disorder and schizophrenia,NR,79192,170690,1.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/20889312,Bipolar disorder and schizophrenia,NALCN,,,5.00E-07
http://www.ncbi.nlm.nih.gov/pubmed/20889312,Bipolar disorder and schizophrenia,FAM69A,343296,646526,4.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/20889312,Bipolar disorder and schizophrenia,NR,,,1.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/20889312,Bipolar disorder and schizophrenia,NR,100873897,100271072,5.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/20889312,Bipolar disorder and schizophrenia,NR,647167,343450,2.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/20889312,Bipolar disorder and schizophrenia,NR,,,5.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/20889312,Bipolar disorder and schizophrenia,NR,,,2.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/20889312,Bipolar disorder and schizophrenia,NR,,,8.00E-07
http://www.ncbi.nlm.nih.gov/pubmed/20889312,Bipolar disorder and schizophrenia,NR,,,8.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/20889312,Bipolar disorder and schizophrenia,NR,,,4.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/20889312,Bipolar disorder and schizophrenia,NR,,,1.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/20889312,Bipolar disorder and schizophrenia,NR,,,2.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/20889312,Bipolar disorder and schizophrenia,NR,100873800,391518,9.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/20889312,Bipolar disorder and schizophrenia,NR,728374,100874401,3.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/20889312,Bipolar disorder and schizophrenia,NR,202333,345778,6.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/20889312,Bipolar disorder and schizophrenia,NR,11056,6928,7.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/20889312,Bipolar disorder and schizophrenia,NR,,,7.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/20889312,Bipolar disorder and schizophrenia,NR,79953,8530,7.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/20889312,Bipolar disorder and schizophrenia,NR,,,8.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/20889312,Bipolar disorder and schizophrenia,NR,,,7.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/20889312,Bipolar disorder and schizophrenia,NR,,,6.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/20889312,Bipolar disorder and schizophrenia,NR,221074,783,9.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/20889312,Bipolar disorder and schizophrenia,NR,,,8.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/20889312,Bipolar disorder and schizophrenia,NR,100500884,28951,4.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/20889312,Bipolar disorder and schizophrenia,LOC393076,6469,64433,1.00E-07
http://www.ncbi.nlm.nih.gov/pubmed/20889312,Bipolar disorder and schizophrenia,NR,,,4.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/20889312,Bipolar disorder and schizophrenia,NR,,,3.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/20889312,Bipolar disorder and schizophrenia,NR,,,4.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/20889312,Bipolar disorder and schizophrenia,NR,,,3.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/20889312,Bipolar disorder and schizophrenia,NR,1280,100271515,9.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/20889312,Bipolar disorder and schizophrenia,NR,100528006,5588,6.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/20889312,Bipolar disorder and schizophrenia,NR,,,1.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/20889312,Bipolar disorder and schizophrenia,ASTN2,7099,1620,6.00E-09
http://www.ncbi.nlm.nih.gov/pubmed/20889312,Bipolar disorder and schizophrenia,NR,285634,5734,6.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/20889312,Bipolar disorder and schizophrenia,NR,,,5.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/20889312,Bipolar disorder and schizophrenia,GABRR1,360171,10957,4.00E-08
http://www.ncbi.nlm.nih.gov/pubmed/20889312,Bipolar disorder and schizophrenia,NR,,,1.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/20889312,Bipolar disorder and schizophrenia,NR,100271520,3458,5.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/20889312,Bipolar disorder and schizophrenia,NR,,,5.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/20889312,Bipolar disorder and schizophrenia,NR,,,4.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/20889312,Bipolar disorder and schizophrenia,NR,,,6.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/20889312,Bipolar disorder and schizophrenia,NR,,,7.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/20889312,Bipolar disorder and schizophrenia,NR,100130922,5456,4.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/20889312,Bipolar disorder and schizophrenia,NR,100313884,81551,6.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/20889312,Bipolar disorder and schizophrenia,NR,,,5.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/20889312,Bipolar disorder and schizophrenia,NR,338,114818,8.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/20889312,Bipolar disorder and schizophrenia,NR,152138,2257,8.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/20889312,Bipolar disorder and schizophrenia,NR,4531,54495,6.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/20889312,Bipolar disorder and schizophrenia,NR,728106,642741,1.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/20889312,Bipolar disorder and schizophrenia,NR,57005,326323,3.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/20889312,Bipolar disorder and schizophrenia,NR,1611,1501,5.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/20889312,Bipolar disorder and schizophrenia,NR,,,7.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/20889312,Bipolar disorder and schizophrenia,NR,,,5.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/20889312,Bipolar disorder and schizophrenia,NR,401535,643284,1.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/20889312,Bipolar disorder and schizophrenia,FAM110B,100270982,90362,2.00E-07
http://www.ncbi.nlm.nih.gov/pubmed/20889312,Bipolar disorder and schizophrenia,NR,10335,9646,1.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/20889312,Bipolar disorder and schizophrenia,NR,100130922,5456,6.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/20889312,Bipolar disorder and schizophrenia,NR,,,7.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/20889312,Bipolar disorder and schizophrenia,NR,,,5.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/20889312,Bipolar disorder and schizophrenia,CNTN5,100874053,53942,2.00E-07
http://www.ncbi.nlm.nih.gov/pubmed/20889312,Bipolar disorder and schizophrenia,NR,,,2.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/20889312,Bipolar disorder and schizophrenia,NR,,,7.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/20889312,Bipolar disorder and schizophrenia,NR,400359,400360,6.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/20889312,Bipolar disorder and schizophrenia,NR,148281,126581,3.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/20889312,Bipolar disorder and schizophrenia,NR,442239,6492,1.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/20889312,Bipolar disorder and schizophrenia,NR,4643,145773,9.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/20889312,Bipolar disorder and schizophrenia,NR,100132476,728224,4.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/20889312,Bipolar disorder and schizophrenia,NR,,,5.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/20889312,Bipolar disorder and schizophrenia,NR,,,3.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/20889312,Bipolar disorder and schizophrenia,NR,,,5.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/20889312,Bipolar disorder and schizophrenia,NR,,,9.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/20889312,Bipolar disorder and schizophrenia,NR,100874183,100873799,5.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/20889312,Bipolar disorder and schizophrenia,NR,643906,643971,3.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/20889312,Bipolar disorder and schizophrenia,PTPRU,10076,4146,4.00E-07
http://www.ncbi.nlm.nih.gov/pubmed/20889312,Bipolar disorder and schizophrenia,DAOA,282706,728192,1.00E-07
http://www.ncbi.nlm.nih.gov/pubmed/20889312,Bipolar disorder and schizophrenia,NR,643689,100271230,5.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/20889312,Bipolar disorder and schizophrenia,NR,643689,100271230,2.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/20889312,Bipolar disorder and schizophrenia,RIN2,85824,54453,4.00E-07
http://www.ncbi.nlm.nih.gov/pubmed/20889312,Bipolar disorder and schizophrenia,NR,,,9.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/20889312,Bipolar disorder and schizophrenia,NR,57210,2843,3.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/20889312,Bipolar disorder and schizophrenia,NR,575,23237,9.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/20889312,Bipolar disorder and schizophrenia,NR,2934,2040,6.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/20889312,Bipolar disorder and schizophrenia,NR,100128347,84811,8.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/20889312,Bipolar disorder and schizophrenia,CNTNAP2,,,2.00E-07
http://www.ncbi.nlm.nih.gov/pubmed/20889312,Bipolar disorder and schizophrenia,NR,2683,27290,8.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/20889312,Bipolar disorder and schizophrenia,NR,,,7.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/20889312,Bipolar disorder and schizophrenia,NR,80224,84837,2.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/20889312,Bipolar disorder and schizophrenia,NR,10837,57531,2.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/20889312,Bipolar disorder and schizophrenia,NR,,,9.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/20889312,Bipolar disorder and schizophrenia,NR,100129045,100505919,1.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/20889312,Bipolar disorder and schizophrenia,NR,,,8.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/22688191,Bipolar disorder and schizophrenia,other genes,3138,352965,5.00E-07
http://www.ncbi.nlm.nih.gov/pubmed/22688191,Bipolar disorder and schizophrenia,ROR2,,,6.00E-07
http://www.ncbi.nlm.nih.gov/pubmed/22688191,Bipolar disorder and schizophrenia,GPR1,2825,100874430,9.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/22688191,Bipolar disorder and schizophrenia,other genes,,,9.00E-07
http://www.ncbi.nlm.nih.gov/pubmed/22688191,Bipolar disorder and schizophrenia,other genes,,,3.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/22688191,Bipolar disorder and schizophrenia,ADAM23,2825,100874430,9.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/21824976,Bladder cancer,SLC14A1,,,9.00E-09
http://www.ncbi.nlm.nih.gov/pubmed/21750109,Bladder cancer,SLC14A1,,,8.00E-11
http://www.ncbi.nlm.nih.gov/pubmed/20972438,Bladder cancer,CBX6,23466,200315,8.00E-12
