level_0,index,Unnamed: 0,target_id,pval,qval,b,se_b,mean_obs,var_obs,tech_var,sigma_sq,smooth_sigma_sq,final_sigma_sq,ens_gene,ext_gene
6472,608,609,F22D3.2c,5.46e-10,1.89e-08,1.197615548,0.19299877399999998,5.60078843,0.2190456,0.020428913,0.008755086,0.035443877,0.035443877,WBGene00017699,flcn-1
6478,609,610,F22D3.2i,5.46e-10,1.89e-08,1.197615548,0.19299877399999998,5.60078843,0.2190456,0.020428913,0.008755086,0.035443877,0.035443877,WBGene00017699,flcn-1
6504,538,539,F22E10.5b,8.790000000000001e-11,3.45e-09,-1.7976751480000002,0.277144994,4.601360341,0.603745538,0.048239524000000006,0.022356802000000002,0.066974498,0.066974498,WBGene00009057,cept-1
6631,1189,1190,F23F12.9a,5.41e-07,9.62e-06,2.168216066,0.432686323,4.8214057189999995,0.98624964,0.018421458,0.262404723,0.058328275,0.262404723,WBGene00017755,zip-8
6632,2070,2071,F23F12.9b,5.27e-05,0.000538427,2.264200824,0.560010412,3.88525836,1.110187587,0.08423850599999999,0.38617898799999995,0.109356316,0.38617898799999995,WBGene00017755,zip-8
6738,587,588,F25F2.2b,3.46e-10,1.24e-08,0.9550696320000001,0.152163725,7.156847856000001,0.169525743,0.0014260129999999998,0.033304686,0.011789761999999999,0.033304686,WBGene00000396,cdh-4
6824,2153,2154,F26A3.4,7e-05,0.0006874639999999999,-1.5213861469999999,0.38262706799999996,7.295846436000001,0.7143519690000001,0.0009332030000000001,0.218672007,0.010897738999999998,0.218672007,WBGene00009142,F26A3.4
6887,5473,5474,F26F12.3b,0.016086753,0.062134128,-0.621536518,0.25822669800000003,6.815940092999999,0.197832057,0.009120289,0.09090125199999999,0.014755866999999999,0.09090125199999999,WBGene00017834,F26F12.3
6992,2854,2855,F27E11.3b,0.000483546,0.0035809490000000004,3.714600452,1.06444403,1.85931012,4.645129494,1.169710287,0.199894364,0.5298513539999999,0.5298513539999999,WBGene00000478,cfz-2
6993,781,782,F27E5.1,8.440000000000001e-09,2.28e-07,-1.590549774,0.276167932,6.34814782,0.46560051,0.002061779,0.112341311,0.020386289,0.112341311,WBGene00009192,F27E5.1
6998,26,27,F28A10.6,9.76e-40,7.64e-37,-1.594219602,0.120847618,6.97423848,0.516284953,0.0011466010000000001,0.02075962,0.013244869,0.02075962,WBGene00017874,acdh-9
7061,823,824,F28D1.7b,1.47e-08,3.7799999999999997e-07,-0.48072090799999995,0.08486116,9.469743738,0.040924232000000005,0.00011369200000000001,0.010688433,0.007299986,0.010688433,WBGene00004492,rps-23
